Date,Units
2021-04-07,15278580
2021-04-08,15295547
2021-04-11,15303926
2021-04-12,15301924
2021-04-13,15304912
2021-04-18,15343575
2021-04-19,15373548
2021-04-20,15384519
2021-04-21,15391630
2021-04-22,15415004
2021-04-25,15421263
2021-04-26,15421269
2021-04-27,15423877
2021-04-28,15426588
2021-04-29,15429416
2021-05-02,19020114
2021-05-03,19043446
2021-05-04,19043671
2021-05-05,19042321
2021-05-06,18945225
2021-05-09,19070539
2021-05-10,19088066
2021-05-11,19104002
2021-05-12,19142648
2021-05-13,19173452
2021-05-18,19117268
2021-05-19,19128768
2021-05-20,19122051
2021-05-23,19115459
2021-05-24,19103208
2021-05-25,19091944
2021-05-26,19094106
2021-05-27,19095199
2021-05-30,19123038
2021-05-31,19127480
2021-06-01,19138834
2021-06-02,19144826
2021-06-03,19136006
2021-06-06,19140615
2021-06-07,19151753
2021-06-08,19205366
2021-06-09,19212115
2021-06-10,19220469
2021-06-13,19225984
2021-06-14,19232384
2021-06-15,19240734
2021-06-16,19243780
2021-06-17,19277627
2021-06-20,19306927
2021-06-21,19319143
2021-06-22,19340824
2021-06-23,19339136
2021-06-24,19342351
2021-06-27,19340842
2021-06-28,19372514
2021-06-29,19358585
2021-06-30,19375413
2021-07-01,19391764
2021-07-04,19396143
2021-07-05,19411186
2021-07-06,19419464
2021-07-07,19427019
2021-07-08,19426325
2021-07-11,19433458
2021-07-12,19436065
2021-07-13,19449939
2021-07-14,19440465
2021-07-15,19450603
2021-07-19,19543742
2021-07-20,19460798
2021-07-21,19463936
2021-07-22,19485883
2021-07-25,19515109
2021-07-26,19540486
2021-07-27,19527335
2021-07-28,19559878
2021-07-29,19562014
2021-08-01,19576388
2021-08-02,19586334
2021-08-03,19618626
2021-08-04,19635356
2021-08-05,19618389
2021-08-08,19659290
2021-08-09,19668126
2021-08-10,19668666
2021-08-11,19677688
2021-08-12,19681682
2021-08-15,19587322
2021-08-16,19587451
2021-08-17,19589981
2021-08-18,19527742
2021-08-19,19469782
2021-08-22,19471241
2021-08-23,19453940
2021-08-24,19467773
2021-08-25,19473145
2021-08-26,19472848
2021-08-29,19514497
2021-08-30,19503477
2021-08-31,19504258
2021-09-01,19516797
2021-09-02,19520174
