Date,Units
2022-06-14,4957534
2022-06-15,4956224
2022-06-16,4956134
2022-06-19,4950788
2022-06-20,4950538
2022-06-21,4952192
2022-06-22,4949617
2022-06-23,4950101
2022-06-26,4950421
2022-06-27,4950421
2022-06-28,4949751
2022-06-29,4954876
2022-06-30,4954172
2022-07-03,4954172
2022-07-04,4955113
2022-07-05,4956037
2022-07-06,4951834
2022-07-07,4951079
2022-07-10,4951079
2022-07-11,4951079
2022-07-12,4946929
2022-07-13,4946929
2022-07-14,4946964
2022-07-17,4946917
2022-07-18,4947017
2022-07-19,4947117
2022-07-20,4938474
2022-07-21,4937050
2022-07-24,4937050
2022-07-25,4937050
2022-07-26,4940178
2022-07-27,4940178
2022-07-28,4940542
2022-07-31,4933042
2022-08-01,4933042
2022-08-02,4931569
2022-08-03,4931069
2022-08-04,4931069
2022-08-08,4932226
2022-08-09,4935765
2022-08-10,4934139
2022-08-11,4934139
2022-08-14,4934139
2022-08-15,4934051
2022-08-16,4934051
2022-08-17,4937597
2022-08-18,4937597
2022-08-21,4946351
2022-08-22,4946401
2022-08-23,4946401
2022-08-24,4939757
2022-08-25,4939757
2022-08-28,4936943
2022-08-29,4933513
2022-08-30,4933513
2022-08-31,4929233
2022-09-01,4922878
2022-09-04,4920231
2022-09-05,4920231
2022-09-06,4920231
2022-09-07,4920231
2022-09-08,4922108
2022-09-11,4922146
2022-09-12,4922146
2022-09-13,4920623
2022-09-14,4922491
2022-09-15,4921609
2022-09-18,4921609
2022-09-19,4921609
2022-09-20,4920017
2022-09-21,4921852
2022-09-22,4921852
2022-09-28,4921285
2022-09-29,4919032
2022-10-02,4918651
2022-10-03,4918651
2022-10-06,4918651
2022-10-11,4918651
2022-10-12,4915054
2022-10-13,4915054
2022-10-18,4915054
2022-10-19,4891424
2022-10-20,4894380
2022-10-23,4899370
2022-10-24,4899370
2022-10-25,4870677
2022-10-26,4870677
2022-10-27,4872596
2022-10-30,4872596
2022-10-31,4872596
2022-11-02,4846960
2022-11-03,4826296
2022-11-06,4784802
2022-11-07,4784480
2022-11-08,4789039
2022-11-09,4789039
2022-11-10,4781019
2022-11-13,4781019
2022-11-14,4781219
2022-11-15,4780538
2022-11-16,4780538
2022-11-17,4774205
2022-11-20,4774205
2022-11-21,4774335
2022-11-22,4773131
2022-11-23,4773131
2022-11-24,4773131
2022-11-27,4773131
2022-11-28,4760297
2022-11-29,4757689
2022-11-30,4753644
2022-12-01,4753644
2022-12-04,4752744
2022-12-05,4752634
2022-12-06,4752634
2022-12-07,4731331
2022-12-08,4731331
2022-12-11,4718694
2022-12-12,4718694
2022-12-13,4717050
2022-12-14,4716129
2022-12-15,4708943
2022-12-18,4708662
2022-12-19,4710162
2022-12-20,4710162
2022-12-21,4710162
2022-12-22,4710162
2022-12-25,4706038
2022-12-26,4706038
2022-12-27,4613643
2022-12-28,4609102
2022-12-29,4625564
2023-01-01,4610827
2023-01-02,4610827
2023-01-03,4604652
2023-01-04,4604652
2023-01-05,4604652
2023-01-08,4609439
2023-01-09,4609439
2023-01-10,4607360
2023-01-11,4632992
2023-01-12,4631972
2023-01-15,4634093
2023-01-16,4633894
2023-01-17,4651504
2023-01-18,4680342
2023-01-19,4684804
2023-01-22,4700901
2023-01-23,4709700
2023-01-24,4712933
2023-01-25,4713601
2023-01-26,4714917
2023-01-29,4721188
2023-01-30,4722208
2023-01-31,4717240
2023-02-01,4667694
2023-02-02,4661791
2023-02-05,4666211
2023-02-06,4662849
2023-02-07,4662949
2023-02-08,4668862
2023-02-09,4673920
2023-02-12,4674145
2023-02-13,4675165
2023-02-14,4675165
2023-02-15,4674320
2023-02-16,4673511
2023-02-19,4672805
2023-02-20,4672805
2023-02-21,4670665
2023-02-22,4668213
2023-02-23,4516343
2023-02-26,4513502
2023-02-27,4500969
2023-02-28,4481331
2023-03-01,4475003
2023-03-02,4474993
2023-03-05,4474993
2023-03-06,4473778
2023-03-08,4478976
2023-03-09,4478976
2023-03-12,4472022
2023-03-13,4470229
2023-03-14,4466186
2023-03-15,4477053
2023-03-16,4476198
2023-03-19,4478745
2023-03-20,4474974
2023-03-21,4474974
2023-03-22,4469974
2023-03-23,4470188
2023-03-26,4469735
2023-03-27,4466695
2023-03-28,4466747
2023-03-29,4468334
2023-03-30,4468334
2023-04-02,4466834
2023-04-03,4466834
2023-04-04,4465188
2023-04-09,4465188
2023-04-10,4459072
2023-04-13,4457822
2023-04-16,4458322
2023-04-17,4453827
2023-04-18,4456735
2023-04-19,4454939
2023-04-20,4454127
2023-04-23,4454127
2023-04-24,4454127
2023-04-27,4444982
2023-04-30,4444982
2023-05-01,4441241
2023-05-02,4441241
2023-05-03,4441241
2023-05-04,4432605
2023-05-07,4432605
2023-05-08,4432483
2023-05-09,4440479
2023-05-10,4440479
2023-05-11,4440479
2023-05-14,4444479
2023-05-15,4448120
2023-05-16,4448345
2023-05-17,4448345
2023-05-18,4448345
2023-05-21,4448345
2023-05-22,4448345
2023-05-23,4448345
2023-05-24,4448586
2023-05-28,4428907
2023-05-29,4428907
2023-05-30,4425076
2023-05-31,4426069
2023-06-01,4432039
2023-06-04,4434019
2023-06-05,4431307
2023-06-06,4442445
2023-06-07,4439307
2023-06-08,4437900
2023-06-11,4437900
2023-06-12,4439379
2023-06-13,4443270
2023-06-14,4444230
2023-06-15,4456229
2023-06-18,4456229
2023-06-19,4480550
2023-06-20,4482626
2023-06-21,4498925
2023-06-22,4484987
2023-06-25,4483962
2023-06-26,4483962
2023-06-27,4479692
2023-06-28,4479789
2023-06-29,4479789
2023-07-02,4484429
2023-07-03,4484619
2023-07-04,4492308
2023-07-05,4495276
2023-07-06,4509122
2023-07-09,4495886
2023-07-10,4497178
2023-07-11,4495947
2023-07-12,4495947
2023-07-13,4498408
2023-07-16,4510166
2023-07-17,4510355
2023-07-18,4589820
2023-07-19,4591681
2023-07-20,4602428
2023-07-23,4602328
2023-07-24,4617480
2023-07-25,4617155
2023-07-26,4605746
2023-07-30,4581179
2023-07-31,4569017
2023-08-01,4569017
2023-08-02,4569017
2023-08-03,4555963
2023-08-06,4554413
2023-08-07,4543841
2023-08-08,4542374
2023-08-09,4522245
2023-08-10,4522245
2023-08-13,4520698
2023-08-14,4520698
2023-08-15,4520698
2023-08-16,4520779
2023-08-17,4521313
2023-08-20,4520099
2023-08-21,4520099
2023-08-22,4520099
2023-08-23,4521436
2023-08-24,4519305
2023-08-27,4517645
2023-08-28,4523206
2023-08-29,4519271
2023-08-30,4522062
2023-08-31,4517149
2023-09-03,4524295
2023-09-04,4526175
2023-09-05,4530812
2023-09-06,4525870
2023-09-07,4529897
2023-09-10,4532311
2023-09-11,4553338
2023-09-12,4554118
2023-09-13,4554118
2023-09-14,4554118
2023-09-18,4554118
2023-09-19,4554118
2023-09-20,4554889
2023-09-21,4533267
2023-09-26,4533267
2023-09-27,4533546
2023-09-28,4533546
2023-10-01,4530568
2023-10-02,4530193
2023-10-03,4530128
2023-10-04,4535214
2023-10-05,4535214
2023-10-08,4535214
2023-10-09,4535234
2023-10-10,4520372
2023-10-11,4518458
2023-10-12,4513276
2023-10-15,4523089
2023-10-16,4522598
2023-10-17,4519106
2023-10-18,4518537
2023-10-19,4518537
2023-10-22,4515436
2023-10-23,4515436
2023-10-24,4509686
2023-10-25,4507433
2023-10-26,4502841
2023-10-29,4502841
2023-10-30,4479417
2023-10-31,4477119
2023-11-01,4477072
2023-11-02,4472986
2023-11-05,4472986
2023-11-06,4472901
2023-11-07,4472951
2023-11-08,4474441
2023-11-09,4450694
2023-11-12,4453872
2023-11-13,4446264
2023-11-14,4446264
2023-11-15,4445784
2023-11-16,4462137
2023-11-19,4463542
2023-11-20,4458229
2023-11-21,4461191
2023-11-22,4460584
2023-11-23,4460584
2023-11-26,4460584
2023-11-27,4460584
2023-11-28,4460492
2023-11-29,4460492
2023-11-30,4454778
2023-12-03,4459578
2023-12-04,4459578
2023-12-05,4452421
2023-12-06,4452535
2023-12-07,4452535
2023-12-10,4452535
2023-12-11,4452535
2023-12-12,4452535
2023-12-13,4445281
2023-12-14,4450085
2023-12-17,4453471
2023-12-18,4452977
2023-12-19,4458012
2023-12-20,4468183
2023-12-21,4472733
2023-12-24,4473112
2023-12-25,4441898
2023-12-26,4433653
2023-12-27,4433653
2023-12-28,4434553
2023-12-31,4432882
2024-01-01,4426160
2024-01-02,4423028
2024-01-03,4427164
2024-01-04,4435261
2024-01-07,4436802
2024-01-08,4439680
2024-01-09,4443133
2024-01-10,4443133
2024-01-11,4443133
2024-01-14,4443154
2024-01-15,4443322
2024-01-16,4443322
2024-01-17,4443322
2024-01-18,4443322
2024-01-21,4443047
2024-01-22,4441991
2024-01-23,4896726
2024-01-24,4896532
2024-01-25,4896632
2024-01-28,4905489
2024-01-29,4883985
2024-01-30,4883174
2024-01-31,4870585
2024-02-01,4870585
2024-02-04,4870585
2024-02-05,4870585
2024-02-06,4871324
2024-02-07,4868461
2024-02-08,4871436
2024-02-11,4877880
2024-02-12,4876416
2024-02-13,4876416
2024-02-14,4891290
2024-02-15,4887024
2024-02-18,4895303
2024-02-19,4895303
2024-02-20,4886602
2024-02-21,4887468
2024-02-22,4888761
2024-02-25,4898780
2024-02-26,4898781
2024-02-28,4896215
2024-02-29,4896215
2024-03-03,4894512
2024-03-04,4894054
2024-03-05,4891092
2024-03-06,4897876
2024-03-07,4897876
2024-03-10,4897876
2024-03-11,4888278
2024-03-12,4864604
2024-03-13,4868818
2024-03-14,4872047
2024-03-17,4872097
2024-03-18,4870053
2024-03-19,4870053
2024-03-20,4879806
2024-03-21,4879806
2024-03-25,4877151
2024-03-26,4877292
2024-03-27,4874708
2024-03-28,4874708
2024-03-31,4882057
2024-04-01,4887406
2024-04-02,4887406
2024-04-03,4890300
2024-04-04,4896519
2024-04-07,4896519
2024-04-08,4903437
2024-04-09,4719900
2024-04-10,4659201
2024-04-11,4637433
2024-04-14,4632411
2024-04-15,4633312
2024-04-16,4635034
2024-04-17,4633352
2024-04-18,4627941
2024-04-21,4630180
2024-04-24,4631031
2024-04-25,4631381
2024-04-30,4642502
2024-05-01,4584213
2024-05-02,4585060
2024-05-05,4565853
2024-05-06,4571154
2024-05-07,4571486
2024-05-08,4573583
2024-05-09,4574083
2024-05-12,4590297
2024-05-15,4590977
2024-05-16,4576914
2024-05-19,4588430
2024-05-20,4579581
2024-05-21,4574726
2024-05-22,4604655
2024-05-23,4614209
2024-05-26,4620812
2024-05-27,4627971
2024-05-28,4685226
2024-05-29,4699996
2024-05-30,4713208
2024-06-02,4721002
2024-06-03,4725468
2024-06-04,4736263
2024-06-05,4763363
2024-06-06,4742693
2024-06-09,4740523
2024-06-10,4740879
2024-06-13,4779903
2024-06-16,4783592
2024-06-17,4783592
2024-06-18,4784461
2024-06-19,4784408
2024-06-20,4776603
2024-06-23,4773127
2024-06-24,4770542
2024-06-25,4766308
2024-06-26,4753888
2024-06-27,4765635
2024-06-30,4757009
2024-07-01,4760530
2024-07-02,4766025
2024-07-03,4778733
2024-07-04,4780283
2024-07-07,4726200
2024-07-08,4683605
2024-07-09,4684985
2024-07-10,4701998
2024-07-11,4700344
2024-07-14,4700344
2024-07-15,4705507
2024-07-16,4705293
2024-07-17,4536268
2024-07-18,4536268
2024-07-21,4536313
2024-07-22,4536354
2024-07-23,4536352
2024-07-24,4534677
2024-07-25,4548135
2024-07-28,4545919
2024-07-29,4530086
2024-07-30,4528616
2024-07-31,4537677
2024-08-01,4543747
2024-08-04,4547504
2024-08-05,4543215
2024-08-06,4525864
2024-08-07,4527287
2024-08-08,4520720
2024-08-11,4520658
2024-08-12,4519104
2024-08-14,4519904
2024-08-15,4505619
2024-08-18,4505619
2024-08-19,4505619
2024-08-20,4503963
2024-08-21,4492490
2024-08-22,4489676
2024-08-25,4495959
2024-08-26,4495960
2024-08-27,4496210
2024-08-28,4498072
2024-08-29,4502029
2024-09-01,4498869
2024-09-02,4498911
2024-09-03,4499037
2024-09-04,4497810
2024-09-05,4493766
2024-09-08,4493766
2024-09-09,4491123
2024-09-10,4492436
2024-09-11,4492436
2024-09-12,4492407
2024-09-15,4474321
2024-09-16,4472357
2024-09-17,4462838
2024-09-18,4462440
2024-09-19,4443973
2024-09-22,4444172
2024-09-23,4456446
2024-09-24,4460760
2024-09-25,4446842
2024-09-26,4446892
2024-09-29,4452825
2024-09-30,4452825
